tenure_months,monthly_fee_chf,usage_hours_last_30d,support_tickets_last_6m,payment_delay_days_avg,contract_type,plan_type,auto_renew_enabled,email_engagement_score,days_since_last_login,churned
46,40.04,22.2,2,3.1,monthly,standard,0,3.3,85,0
10,20.49,28.6,5,2.4,monthly,standard,1,8.8,27,0
31,38.63,21.5,2,2.0,monthly,basic,0,2.8,84,1
15,21.9,11.0,1,2.4,monthly,standard,0,1.6,44,0
36,25.88,21.9,1,11.5,annual,basic,0,7.5,66,0
13,8.1,26.5,3,1.9,monthly,standard,1,3.0,44,1
41,21.51,25.9,0,14.7,annual,basic,1,4.0,71,0
15,45.79,25.0,4,12.3,annual,basic,1,5.6,53,0
28,38.32,31.5,1,3.6,monthly,standard,1,3.4,27,0
36,36.56,0.0,2,5.4,monthly,premium,0,7.0,8,0
54,35.68,15.3,4,6.7,monthly,basic,1,8.0,4,0
25,28.36,5.4,3,20.7,monthly,basic,1,7.3,8,1
5,19.13,24.3,1,5.7,monthly,standard,1,3.3,76,0
14,44.6,18.9,2,11.5,monthly,standard,0,3.3,31,0
6,50.84,18.7,2,3.5,monthly,basic,1,4.3,75,0
24,64.43,11.1,2,2.2,annual,basic,1,7.5,8,0
30,42.88,7.0,1,5.0,monthly,standard,1,7.3,60,0
32,20.63,0.0,2,7.7,annual,standard,1,3.9,25,0
13,58.69,23.0,1,3.4,annual,basic,1,5.3,79,1
39,33.45,29.4,1,3.0,annual,standard,0,8.9,41,0
57,26.53,13.3,2,2.9,monthly,basic,0,6.1,39,0
22,34.16,10.4,4,3.2,annual,basic,1,9.5,69,0
2,28.97,6.5,0,2.4,monthly,standard,1,0.1,0,0
1,18.22,6.7,0,4.6,monthly,standard,0,9.1,49,0
19,33.17,33.9,2,3.4,monthly,basic,1,3.2,42,0
5,36.49,11.8,3,19.2,monthly,premium,1,5.4,50,0
38,37.67,17.6,1,8.8,monthly,basic,1,7.8,9,0
13,13.31,29.2,1,7.2,annual,premium,1,4.9,67,0
50,51.57,30.7,2,4.2,monthly,standard,0,9.4,15,0
41,43.97,14.0,4,16.4,monthly,standard,1,8.6,28,0
53,8.0,22.0,2,4.5,monthly,premium,0,5.6,2,0
26,12.5,22.6,0,0.7,annual,premium,0,8.9,42,0
15,30.58,33.4,3,8.3,monthly,standard,0,2.7,21,0
2,28.11,17.1,0,5.7,monthly,basic,0,4.4,29,1
54,35.97,8.8,1,1.1,annual,basic,1,1.1,5,0
10,45.66,27.8,0,1.3,monthly,basic,1,8.2,30,0
19,50.02,15.4,0,2.2,monthly,standard,1,4.0,51,0
43,37.4,32.0,0,3.0,monthly,basic,1,1.3,3,0
1,8.0,13.5,1,2.7,annual,standard,1,6.8,86,0
40,29.25,21.7,2,19.6,monthly,premium,1,5.1,27,0
35,52.03,14.4,0,11.5,monthly,premium,1,7.3,59,0
40,32.85,31.2,1,8.6,annual,premium,0,2.7,25,0
6,46.78,7.8,1,8.0,monthly,standard,0,0.2,20,0
17,38.03,21.7,4,2.8,monthly,basic,0,0.2,64,1
23,36.67,11.1,3,2.0,monthly,standard,1,7.9,89,1
8,41.13,16.4,0,3.5,annual,standard,1,1.4,86,0
56,19.14,13.7,4,13.5,monthly,premium,1,2.0,75,1
22,10.68,26.2,0,9.2,monthly,basic,1,6.4,51,0
4,22.13,4.6,1,3.6,monthly,premium,0,4.8,75,1
33,15.09,17.5,2,1.8,monthly,premium,1,8.9,70,0
11,33.44,11.0,2,1.5,monthly,standard,1,6.7,87,1
51,34.96,29.1,3,6.7,monthly,basic,0,3.6,10,0
30,44.74,6.6,0,2.6,monthly,standard,1,6.7,53,0
51,30.8,6.0,2,5.7,annual,premium,1,9.9,62,0
36,29.09,34.6,5,7.3,monthly,standard,0,6.9,2,0
19,30.1,25.3,1,2.2,monthly,basic,1,5.9,88,0
48,42.85,34.6,2,4.9,monthly,premium,0,7.4,52,0
57,26.87,7.9,4,7.3,annual,premium,0,1.5,55,0
30,54.11,11.8,1,0.7,monthly,premium,0,7.7,30,0
7,43.85,21.1,2,8.6,monthly,standard,1,7.7,35,0
49,45.14,11.4,2,4.1,monthly,basic,1,2.7,5,0
34,42.02,11.5,0,6.1,annual,basic,1,1.4,7,0
38,33.51,7.7,2,13.5,annual,basic,1,1.6,43,0
47,35.56,30.5,2,17.3,monthly,basic,1,3.3,2,0
36,44.81,21.3,5,2.8,monthly,standard,1,6.2,49,0
31,40.82,34.9,4,4.9,monthly,standard,1,1.1,44,0
29,20.3,13.5,2,15.5,monthly,basic,0,5.1,43,0
50,47.57,33.4,1,0.9,monthly,standard,0,3.4,87,0
41,23.05,12.1,0,21.6,monthly,premium,0,4.2,73,0
55,48.5,19.3,2,1.3,monthly,standard,1,9.2,66,0
53,32.52,23.4,2,9.0,annual,standard,1,8.7,65,0
20,27.25,31.0,5,2.8,monthly,standard,1,8.1,51,0
44,40.31,13.9,0,5.2,annual,premium,0,9.3,82,1
33,44.04,29.3,0,1.4,monthly,standard,1,5.8,22,0
51,23.69,14.3,1,2.9,monthly,standard,1,0.9,19,0
18,23.97,0.0,0,1.2,monthly,standard,1,7.7,37,0
55,37.29,25.0,1,2.9,monthly,basic,1,8.2,83,0
53,14.18,25.8,3,3.6,monthly,standard,1,7.3,60,0
13,49.34,14.8,0,5.8,monthly,standard,1,3.6,6,0
59,32.21,0.0,0,7.7,monthly,premium,0,2.5,27,0
47,26.13,0.0,3,4.3,annual,basic,1,9.4,38,0
53,34.97,15.2,1,4.0,annual,premium,0,5.6,55,0
43,23.08,28.6,1,11.6,monthly,premium,1,5.9,6,0
